Date,Location,LocationID,Parameter,Units,Value
8/8/2017 12:00,Shuswap_Well,SW,"Barium, total",mg/L,<0.00050
8/8/2017 12:00,Shuswap_Well,SW,"Boron, total",mg/L,0.0111
8/8/2017 12:00,Shuswap_Well,SW,"Cadmium, total",mg/L,0.0082
8/8/2017 12:00,Shuswap_Well,SW,"Calcium, total",mg/L,<0.000010
8/8/2017 12:00,Shuswap_Well,SW,"Chromium, total",mg/L,16.5
8/8/2017 12:00,Shuswap_Well,SW,"Cobalt, total",mg/L,<0.00050
8/8/2017 12:00,Shuswap_Well,SW,"Copper, total",mg/L,<0.00010
8/8/2017 12:00,Shuswap_Well,SW,"Iron, total",mg/L,0.00479
8/8/2017 12:00,Shuswap_Well,SW,"Lead, total",mg/L,<0.010
8/8/2017 12:00,Shuswap_Well,SW,"Magnesium, total",mg/L,0.00127
8/8/2017 12:00,Shuswap_Well,SW,"Manganese, total",mg/L,3.24
8/8/2017 12:00,Shuswap_Well,SW,"Mercury, total",mg/L,<0.00020
8/8/2017 12:00,Shuswap_Well,SW,"Molybdenum, total",mg/L,<0.000010
